
    date   smlo_vwret  smlo_nfirms   smlo_msize   smme_vwret  smme_nfirms   smme_msize   smhi_vwret  smhi_nfirms   smhi_msize   bilo_vwret  bilo_nfirms   bilo_msize   bime_vwret  bime_nfirms   bime_msize   bihi_vwret  bihi_nfirms   bihi_msize
20020430      -0.0357          917       305.15       0.0282         1340       272.91       0.0393         1677        132.8      -0.0692          545     15104.72      -0.0145          362      6884.98      -0.0599           96      5960.99
20020531      -0.0638          912       294.28      -0.0367         1327       282.25      -0.0256         1659       138.92      -0.0137          545     14048.89       0.0008          361      6742.03      -0.0027           95      5618.55
20020628      -0.0762          908       276.41      -0.0281         1314       272.09      -0.0244         1645       135.41      -0.0735          544     13866.18      -0.0658          359       6764.4      -0.0959           95      5591.78
20020731      -0.1459         1096       292.23       -0.142         1351       279.36      -0.1495         1557       124.84      -0.0602          445     14852.46      -0.0929          343      7667.62      -0.1296          129       5840.1
20020830      -0.0051         1087       251.58       0.0064         1340       240.76      -0.0079         1535       107.13       0.0027          445     13947.53       0.0076          342      6951.53       0.0488          128       5099.2
20020930      -0.0861         1082       250.99      -0.0767         1334       242.63      -0.0666         1519          107      -0.1057          445     13967.74      -0.1024          341      6964.02       -0.102          128      5337.33
20021031       0.0685         1072       231.38        0.042         1322       224.23      -0.0024         1497       100.96       0.0961          445     12472.96       0.0657          340      6254.76       0.0367          128       4783.2
20021129       0.1382         1065       248.79       0.0749         1316       233.88       0.0775         1476       101.81       0.0507          445      13658.4       0.0641          338      6608.64       0.0805          128      4952.05
20021231      -0.0915         1055       285.46      -0.0408         1306       252.65      -0.0341         1459       110.46      -0.0626          445      14333.5      -0.0455          337      7017.26      -0.0428          128      5337.42
20030131      -0.0224         1042       260.24      -0.0241         1298       242.88      -0.0142         1435       107.01      -0.0266          445     13414.88       -0.023          335      6707.57       -0.053          128      5097.64
20030228      -0.0355         1037       255.53      -0.0241         1283       238.43      -0.0329         1422       106.04      -0.0104          444     13069.14      -0.0319          335      6540.23      -0.0421          128       4823.2
20030331       0.0206         1020       249.13       0.0064         1262       234.44       0.0094         1400        103.4       0.0171          443     12913.39       0.0006          333      6344.04      -0.0062          128      4609.24
20030430       0.1123         1013       255.76        0.094         1256       236.63        0.091         1382       105.44       0.0768          441     13036.43       0.0898          332      6347.57       0.0976          128      4570.27
20030530       0.1316         1009       285.42       0.1062         1245       259.85       0.1036         1362       116.42       0.0495          441     14025.93       0.0702          332      6903.03       0.0808          128      5010.74
20030630       0.0231         1000        325.2        0.025         1238       287.42       0.0349         1343       129.56       0.0119          440     14729.18       0.0134          332      7371.58       0.0134          128      5405.48
20030731       0.0841          873        333.3       0.0623         1405       276.67        0.064         1377       150.96       0.0231          440     14580.87       0.0172          334      7827.69       0.0016          142      6664.05
20030829       0.0452          868        362.2       0.0499         1393       294.53       0.0618         1360        160.9        0.018          437     14989.41       0.0224          333      7964.48       0.0371          142      6667.05
20030930       -0.017          866       378.49      -0.0173         1388       309.31       0.0087         1344       172.24       -0.008          437     15240.02      -0.0195          332      8145.71      -0.0153          141      6938.89
20031031       0.0813          859       372.31        0.083         1378       303.11       0.1082         1332       174.82        0.051          437     15099.82       0.0743          332      7975.61       0.0609          141      6825.24
20031128       0.0287          854       404.05        0.039         1370       327.94       0.0449         1314       195.54       0.0084          434     15934.43        0.017          332      8551.22       0.0213          141      7233.87
20031231       0.0083          851       415.34       0.0236         1361       341.23       0.0403         1293       205.26       0.0428          434     16047.83       0.0492          332      8680.92       0.0635          141      7371.79
20040130       0.0392          846       420.05       0.0431         1353       349.94       0.0606         1277       215.11       0.0159          433     16742.57       0.0212          332      9093.14       0.0277          141      7830.12
20040227       0.0046          841       435.13       0.0067         1344       365.68       0.0071         1269       229.13       0.0121          431     17049.87       0.0245          332      9269.61       0.0164          141      8041.69
20040331       0.0112          837       438.51       0.0062         1336       368.64       0.0038         1260        231.8      -0.0184          430     17264.35      -0.0053          331      9493.59      -0.0111          141      8157.65
20040430       -0.036          829       445.09      -0.0342         1327        370.4      -0.0609         1248       234.37      -0.0068          429     16960.86      -0.0316          328       9275.9      -0.0159          141      8057.66
20040528       0.0101          826       430.31       0.0112         1313       356.74       0.0074         1239       221.21       0.0138          429     16830.94        0.008          327      8987.96       0.0113          141      7923.28
20040630       0.0343          822       434.95       0.0433         1299       361.81       0.0526         1231       223.89       0.0121          429     17040.38       0.0221          326      9059.04       0.0274          141      7996.91
20040730      -0.0985         1189        400.1      -0.0528         1300       389.57      -0.0442          978       240.42      -0.0489          433      15963.8      -0.0167          319     10853.01      -0.0153          154      9110.22
20040831       -0.021         1181       361.24       -0.002         1295       368.72       -0.008          969       231.01      -0.0017          432     15201.58       0.0091          318     10681.04       0.0077          153      8990.11
20040930       0.0548         1178       354.36       0.0499         1288       367.82       0.0381          961       230.21       0.0054          432     15153.96        0.023          316      10787.3       0.0289          153      9042.24
20041029       0.0314         1171       373.21       0.0115         1277       385.29       0.0137          952       240.03       0.0176          432     15215.07        0.009          314     11049.26       0.0175          152      9082.92
20041130       0.0806         1164       384.74       0.0876         1270       390.05       0.0977          940       244.41       0.0345          432     15468.96       0.0523          313     11122.09       0.0557          152      9225.31
20041231       0.0428         1159       414.14        0.026         1261       425.01       0.0395          930       268.52       0.0403          432     15905.83       0.0258          311     11684.86       0.0365          150      9682.79
20050131      -0.0555         1154       431.61       -0.032         1246       437.22      -0.0219          918       281.85      -0.0295          431     16539.64      -0.0177          311     11968.74      -0.0135          150     10022.32
20050228       0.0043         1151       406.62       0.0208         1243       423.85        0.036          902       278.04       0.0081          431     16041.99       0.0435          311     11742.17        0.032          150      9873.54
